index,Year,Period,Week Ending,State,State ANSI,Watershed,Data Item,Value,CV (%)
0,2017,JAN THRU MAR,,ALABAMA,1,,ADDED & REPLACED,570,
1,2017,JAN THRU MAR,,ARIZONA,4,,ADDED & REPLACED,"2,900",
2,2017,JAN THRU MAR,,ARKANSAS,5,,ADDED & REPLACED,430,
3,2017,JAN THRU MAR,,CALIFORNIA,6,,ADDED & REPLACED,"215,000",
4,2017,JAN THRU MAR,,COLORADO,8,,ADDED & REPLACED,100,
5,2017,JAN THRU MAR,,CONNECTICUT,9,,ADDED & REPLACED,100,
6,2017,JAN THRU MAR,,FLORIDA,12,,ADDED & REPLACED,"80,000",
7,2017,JAN THRU MAR,,GEORGIA,13,,ADDED & REPLACED,"36,000",
8,2017,JAN THRU MAR,,HAWAII,15,,ADDED & REPLACED,510,
9,2017,JAN THRU MAR,,IDAHO,16,,ADDED & REPLACED,"2,000",
10,2017,JAN THRU MAR,,ILLINOIS,17,,ADDED & REPLACED,"3,100",
11,2017,JAN THRU MAR,,INDIANA,18,,ADDED & REPLACED,"1,700",
12,2017,JAN THRU MAR,,IOWA,19,,ADDED & REPLACED,70,
13,2017,JAN THRU MAR,,KANSAS,20,,ADDED & REPLACED,930,
14,2017,JAN THRU MAR,,KENTUCKY,21,,ADDED & REPLACED,950,
15,2017,JAN THRU MAR,,LOUISIANA,22,,ADDED & REPLACED,"11,000",
16,2017,JAN THRU MAR,,MAINE,23,,ADDED & REPLACED,100,
17,2017,JAN THRU MAR,,MARYLAND,24,,ADDED & REPLACED,770,
18,2017,JAN THRU MAR,,MASSACHUSETTS,25,,ADDED & REPLACED,120,
19,2017,JAN THRU MAR,,MICHIGAN,26,,ADDED & REPLACED,600,
20,2017,JAN THRU MAR,,MINNESOTA,27,,ADDED & REPLACED,"3,300",
21,2017,JAN THRU MAR,,MISSISSIPPI,28,,ADDED & REPLACED,"23,000",
22,2017,JAN THRU MAR,,MISSOURI,29,,ADDED & REPLACED,400,
23,2017,JAN THRU MAR,,MONTANA,30,,ADDED & REPLACED,"3,100",
24,2017,JAN THRU MAR,,NEBRASKA,31,,ADDED & REPLACED,120,
25,2017,JAN THRU MAR,,NEW JERSEY,34,,ADDED & REPLACED,10,
26,2017,JAN THRU MAR,,NEW MEXICO,35,,ADDED & REPLACED,"3,600",
27,2017,JAN THRU MAR,,NEW YORK,36,,ADDED & REPLACED,520,
28,2017,JAN THRU MAR,,NORTH CAROLINA,37,,ADDED & REPLACED,"3,700",
29,2017,JAN THRU MAR,,NORTH DAKOTA,38,,ADDED & REPLACED,"1,100",
30,2017,JAN THRU MAR,,OHIO,39,,ADDED & REPLACED,"1,300",
31,2017,JAN THRU MAR,,OKLAHOMA,40,,ADDED & REPLACED,"9,500",
32,2017,JAN THRU MAR,,OREGON,41,,ADDED & REPLACED,"7,500",
33,2017,JAN THRU MAR,,PENNSYLVANIA,42,,ADDED & REPLACED,810,
34,2017,JAN THRU MAR,,SOUTH CAROLINA,45,,ADDED & REPLACED,"4,700",
35,2017,JAN THRU MAR,,SOUTH DAKOTA,46,,ADDED & REPLACED,"1,500",
36,2017,JAN THRU MAR,,TENNESSEE,47,,ADDED & REPLACED,"1,500",
37,2017,JAN THRU MAR,,TEXAS,48,,ADDED & REPLACED,"148,000",
38,2017,JAN THRU MAR,,UTAH,49,,ADDED & REPLACED,"2,900",
39,2017,JAN THRU MAR,,VERMONT,50,,ADDED & REPLACED,0,
40,2017,JAN THRU MAR,,VIRGINIA,51,,ADDED & REPLACED,"1,900",
41,2017,JAN THRU MAR,,WASHINGTON,53,,ADDED & REPLACED,"8,500",
42,2017,JAN THRU MAR,,WEST VIRGINIA,54,,ADDED & REPLACED,450,
43,2017,JAN THRU MAR,,WISCONSIN,55,,ADDED & REPLACED,450,
44,2017,JAN THRU MAR,,WYOMING,56,,ADDED & REPLACED,"1,300",
45,2017,APR THRU JUN,,ALABAMA,1,,ADDED & REPLACED,"1,200",
46,2017,APR THRU JUN,,ARIZONA,4,,ADDED & REPLACED,"12,500",
47,2017,APR THRU JUN,,ARKANSAS,5,,ADDED & REPLACED,"5,000",
48,2017,APR THRU JUN,,CALIFORNIA,6,,ADDED & REPLACED,"210,000",
49,2017,APR THRU JUN,,COLORADO,8,,ADDED & REPLACED,"5,500",
50,2017,APR THRU JUN,,CONNECTICUT,9,,ADDED & REPLACED,"2,200",
51,2017,APR THRU JUN,,FLORIDA,12,,ADDED & REPLACED,"40,000",
52,2017,APR THRU JUN,,GEORGIA,13,,ADDED & REPLACED,"21,000",
53,2017,APR THRU JUN,,HAWAII,15,,ADDED & REPLACED,520,
54,2017,APR THRU JUN,,IDAHO,16,,ADDED & REPLACED,"24,000",
55,2017,APR THRU JUN,,ILLINOIS,17,,ADDED & REPLACED,"3,600",
56,2017,APR THRU JUN,,INDIANA,18,,ADDED & REPLACED,"3,000",
57,2017,APR THRU JUN,,IOWA,19,,ADDED & REPLACED,"24,000",
58,2017,APR THRU JUN,,KANSAS,20,,ADDED & REPLACED,"2,500",
59,2017,APR THRU JUN,,KENTUCKY,21,,ADDED & REPLACED,"2,900",
60,2017,APR THRU JUN,,LOUISIANA,22,,ADDED & REPLACED,"4,600",
61,2017,APR THRU JUN,,MAINE,23,,ADDED & REPLACED,790,
62,2017,APR THRU JUN,,MARYLAND,24,,ADDED & REPLACED,"3,200",
63,2017,APR THRU JUN,,MASSACHUSETTS,25,,ADDED & REPLACED,"1,900",
64,2017,APR THRU JUN,,MICHIGAN,26,,ADDED & REPLACED,"22,000",
65,2017,APR THRU JUN,,MINNESOTA,27,,ADDED & REPLACED,"18,500",
66,2017,APR THRU JUN,,MISSISSIPPI,28,,ADDED & REPLACED,"5,500",
67,2017,APR THRU JUN,,MISSOURI,29,,ADDED & REPLACED,"1,700",
68,2017,APR THRU JUN,,MONTANA,30,,ADDED & REPLACED,"15,000",
69,2017,APR THRU JUN,,NEBRASKA,31,,ADDED & REPLACED,"6,000",
70,2017,APR THRU JUN,,NEW JERSEY,34,,ADDED & REPLACED,"1,600",
71,2017,APR THRU JUN,,NEW MEXICO,35,,ADDED & REPLACED,"2,300",
72,2017,APR THRU JUN,,NEW YORK,36,,ADDED & REPLACED,"16,000",
73,2017,APR THRU JUN,,NORTH CAROLINA,37,,ADDED & REPLACED,"3,900",
74,2017,APR THRU JUN,,NORTH DAKOTA,38,,ADDED & REPLACED,"19,500",
75,2017,APR THRU JUN,,OHIO,39,,ADDED & REPLACED,"8,000",
76,2017,APR THRU JUN,,OKLAHOMA,40,,ADDED & REPLACED,"6,500",
77,2017,APR THRU JUN,,OREGON,41,,ADDED & REPLACED,"18,000",
78,2017,APR THRU JUN,,PENNSYLVANIA,42,,ADDED & REPLACED,"7,000",
79,2017,APR THRU JUN,,SOUTH CAROLINA,45,,ADDED & REPLACED,"1,900",
80,2017,APR THRU JUN,,SOUTH DAKOTA,46,,ADDED & REPLACED,"10,000",
81,2017,APR THRU JUN,,TENNESSEE,47,,ADDED & REPLACED,"2,600",
82,2017,APR THRU JUN,,TEXAS,48,,ADDED & REPLACED,"43,000",
83,2017,APR THRU JUN,,UTAH,49,,ADDED & REPLACED,"14,500",
84,2017,APR THRU JUN,,VERMONT,50,,ADDED & REPLACED,390,
85,2017,APR THRU JUN,,VIRGINIA,51,,ADDED & REPLACED,"3,100",
86,2017,APR THRU JUN,,WASHINGTON,53,,ADDED & REPLACED,"36,000",
87,2017,APR THRU JUN,,WEST VIRGINIA,54,,ADDED & REPLACED,"3,400",
88,2017,APR THRU JUN,,WISCONSIN,55,,ADDED & REPLACED,"13,000",
89,2017,APR THRU JUN,,WYOMING,56,,ADDED & REPLACED,"4,800",
90,2016,JAN THRU MAR,,ALABAMA,1,,ADDED & REPLACED,"2,100",
91,2016,JAN THRU MAR,,ARIZONA,4,,ADDED & REPLACED,"3,500",
92,2016,JAN THRU MAR,,ARKANSAS,5,,ADDED & REPLACED,"5,000",
93,2016,JAN THRU MAR,,CALIFORNIA,6,,ADDED & REPLACED,"210,000",
94,2016,JAN THRU MAR,,COLORADO,8,,ADDED & REPLACED,"1,700",
95,2016,JAN THRU MAR,,CONNECTICUT,9,,ADDED & REPLACED,70,
96,2016,JAN THRU MAR,,FLORIDA,12,,ADDED & REPLACED,"49,000",
97,2016,JAN THRU MAR,,GEORGIA,13,,ADDED & REPLACED,"36,000",
98,2016,JAN THRU MAR,,HAWAII,15,,ADDED & REPLACED,570,
99,2016,JAN THRU MAR,,IDAHO,16,,ADDED & REPLACED,"5,500",
100,2016,JAN THRU MAR,,ILLINOIS,17,,ADDED & REPLACED,860,
101,2016,JAN THRU MAR,,INDIANA,18,,ADDED & REPLACED,30,
102,2016,JAN THRU MAR,,IOWA,19,,ADDED & REPLACED,90,
103,2016,JAN THRU MAR,,KANSAS,20,,ADDED & REPLACED,"1,400",
104,2016,JAN THRU MAR,,KENTUCKY,21,,ADDED & REPLACED,390,
105,2016,JAN THRU MAR,,LOUISIANA,22,,ADDED & REPLACED,"9,500",
106,2016,JAN THRU MAR,,MAINE,23,,ADDED & REPLACED,0,
107,2016,JAN THRU MAR,,MARYLAND,24,,ADDED & REPLACED,"1,200",
108,2016,JAN THRU MAR,,MASSACHUSETTS,25,,ADDED & REPLACED,"1,200",
109,2016,JAN THRU MAR,,MICHIGAN,26,,ADDED & REPLACED,"2,300",
110,2016,JAN THRU MAR,,MINNESOTA,27,,ADDED & REPLACED,"6,000",
111,2016,JAN THRU MAR,,MISSISSIPPI,28,,ADDED & REPLACED,"48,000",
112,2016,JAN THRU MAR,,MISSOURI,29,,ADDED & REPLACED,"5,500",
113,2016,JAN THRU MAR,,MONTANA,30,,ADDED & REPLACED,"24,000",
114,2016,JAN THRU MAR,,NEBRASKA,31,,ADDED & REPLACED,510,
115,2016,JAN THRU MAR,,NEW JERSEY,34,,ADDED & REPLACED,80,
116,2016,JAN THRU MAR,,NEW MEXICO,35,,ADDED & REPLACED,"1,400",
117,2016,JAN THRU MAR,,NEW YORK,36,,ADDED & REPLACED,970,
118,2016,JAN THRU MAR,,NORTH CAROLINA,37,,ADDED & REPLACED,"1,100",
119,2016,JAN THRU MAR,,NORTH DAKOTA,38,,ADDED & REPLACED,"4,600",
120,2016,JAN THRU MAR,,OHIO,39,,ADDED & REPLACED,760,
121,2016,JAN THRU MAR,,OKLAHOMA,40,,ADDED & REPLACED,"4,800",
122,2016,JAN THRU MAR,,OREGON,41,,ADDED & REPLACED,"3,800",
123,2016,JAN THRU MAR,,PENNSYLVANIA,42,,ADDED & REPLACED,480,
124,2016,JAN THRU MAR,,SOUTH CAROLINA,45,,ADDED & REPLACED,"3,200",
125,2016,JAN THRU MAR,,SOUTH DAKOTA,46,,ADDED & REPLACED,"1,600",
126,2016,JAN THRU MAR,,TENNESSEE,47,,ADDED & REPLACED,180,
127,2016,JAN THRU MAR,,TEXAS,48,,ADDED & REPLACED,"126,000",
128,2016,JAN THRU MAR,,UTAH,49,,ADDED & REPLACED,"1,400",
129,2016,JAN THRU MAR,,VERMONT,50,,ADDED & REPLACED,0,
130,2016,JAN THRU MAR,,VIRGINIA,51,,ADDED & REPLACED,560,
131,2016,JAN THRU MAR,,WASHINGTON,53,,ADDED & REPLACED,"5,500",
132,2016,JAN THRU MAR,,WEST VIRGINIA,54,,ADDED & REPLACED,0,
133,2016,JAN THRU MAR,,WISCONSIN,55,,ADDED & REPLACED,530,
134,2016,JAN THRU MAR,,WYOMING,56,,ADDED & REPLACED,440,
135,2016,APR THRU JUN,,ALABAMA,1,,ADDED & REPLACED,"1,200",
136,2016,APR THRU JUN,,ARIZONA,4,,ADDED & REPLACED,"14,000",
137,2016,APR THRU JUN,,ARKANSAS,5,,ADDED & REPLACED,"12,000",
138,2016,APR THRU JUN,,CALIFORNIA,6,,ADDED & REPLACED,"240,000",
139,2016,APR THRU JUN,,COLORADO,8,,ADDED & REPLACED,"9,000",
140,2016,APR THRU JUN,,CONNECTICUT,9,,ADDED & REPLACED,390,
141,2016,APR THRU JUN,,FLORIDA,12,,ADDED & REPLACED,"43,000",
142,2016,APR THRU JUN,,GEORGIA,13,,ADDED & REPLACED,"17,500",
143,2016,APR THRU JUN,,HAWAII,15,,ADDED & REPLACED,870,
144,2016,APR THRU JUN,,IDAHO,16,,ADDED & REPLACED,"19,000",
145,2016,APR THRU JUN,,ILLINOIS,17,,ADDED & REPLACED,"2,200",
146,2016,APR THRU JUN,,INDIANA,18,,ADDED & REPLACED,"2,700",
147,2016,APR THRU JUN,,IOWA,19,,ADDED & REPLACED,"26,000",
148,2016,APR THRU JUN,,KANSAS,20,,ADDED & REPLACED,"3,000",
149,2016,APR THRU JUN,,KENTUCKY,21,,ADDED & REPLACED,"2,100",
150,2016,APR THRU JUN,,LOUISIANA,22,,ADDED & REPLACED,"10,000",
151,2016,APR THRU JUN,,MAINE,23,,ADDED & REPLACED,510,
152,2016,APR THRU JUN,,MARYLAND,24,,ADDED & REPLACED,"2,800",
153,2016,APR THRU JUN,,MASSACHUSETTS,25,,ADDED & REPLACED,"1,100",
154,2016,APR THRU JUN,,MICHIGAN,26,,ADDED & REPLACED,"13,500",
155,2016,APR THRU JUN,,MINNESOTA,27,,ADDED & REPLACED,"24,000",
156,2016,APR THRU JUN,,MISSISSIPPI,28,,ADDED & REPLACED,"9,000",
157,2016,APR THRU JUN,,MISSOURI,29,,ADDED & REPLACED,"1,800",
158,2016,APR THRU JUN,,MONTANA,30,,ADDED & REPLACED,"25,000",
159,2016,APR THRU JUN,,NEBRASKA,31,,ADDED & REPLACED,"8,000",
160,2016,APR THRU JUN,,NEW JERSEY,34,,ADDED & REPLACED,"1,900",
161,2016,APR THRU JUN,,NEW MEXICO,35,,ADDED & REPLACED,"2,700",
162,2016,APR THRU JUN,,NEW YORK,36,,ADDED & REPLACED,"13,500",
163,2016,APR THRU JUN,,NORTH CAROLINA,37,,ADDED & REPLACED,"10,000",
164,2016,APR THRU JUN,,NORTH DAKOTA,38,,ADDED & REPLACED,"23,000",
165,2016,APR THRU JUN,,OHIO,39,,ADDED & REPLACED,"6,000",
166,2016,APR THRU JUN,,OKLAHOMA,40,,ADDED & REPLACED,"4,000",
167,2016,APR THRU JUN,,OREGON,41,,ADDED & REPLACED,"19,000",
168,2016,APR THRU JUN,,PENNSYLVANIA,42,,ADDED & REPLACED,"6,500",
169,2016,APR THRU JUN,,SOUTH CAROLINA,45,,ADDED & REPLACED,"2,200",
170,2016,APR THRU JUN,,SOUTH DAKOTA,46,,ADDED & REPLACED,"15,000",
171,2016,APR THRU JUN,,TENNESSEE,47,,ADDED & REPLACED,"3,900",
172,2016,APR THRU JUN,,TEXAS,48,,ADDED & REPLACED,"74,000",
