Country,Year,Month,Food Item,Unit of Measurement,Average Price,Currency,Price in USD,Availability,Quality 
Australia,2018,1,Bread,Loaf,2.20,AUD,1.47,1,High
Australia,2018,2,Bread,Loaf,2.20,AUD,1.48,1,High
Australia,2018,3,Bread,Loaf,2.20,AUD,1.48,1,High
Australia,2018,4,Bread,Loaf,2.21,AUD,1.48,1,High
Australia,2018,5,Bread,Loaf,2.21,AUD,1.48,1,High
Australia,2018,6,Bread,Loaf,2.22,AUD,1.49,1,High
Australia,2018,7,Bread,Loaf,2.22,AUD,1.49,1,High
Australia,2018,8,Bread,Loaf,2.22,AUD,1.49,1,High
Australia,2018,9,Bread,Loaf,2.23,AUD,1.50,1,High
Australia,2018,10,Bread,Loaf,2.23,AUD,1.50,1,High
Australia,2018,11,Bread,Loaf,2.24,AUD,1.50,1,High
Australia,2018,12,Bread,Loaf,2.24,AUD,1.50,1,High
Australia,2019,1,Bread,Loaf,2.24,AUD,1.51,1,High
Australia,2019,2,Bread,Loaf,2.25,AUD,1.51,1,High
Australia,2019,3,Bread,Loaf,2.26,AUD,1.52,1,High
Australia,2019,4,Bread,Loaf,2.27,AUD,1.53,1,High
Australia,2019,5,Bread,Loaf,2.28,AUD,1.53,1,High
Australia,2019,6,Bread,Loaf,2.29,AUD,1.54,1,High
Australia,2019,7,Bread,Loaf,2.30,AUD,1.55,1,High
Australia,2019,8,Bread,Loaf,2.31,AUD,1.55,1,High
Australia,2019,9,Bread,Loaf,2.32,AUD,1.56,1,High
Australia,2019,10,Bread,Loaf,2.33,AUD,1.57,1,High
Australia,2019,11,Bread,Loaf,2.34,AUD,1.57,1,High
Australia,2019,12,Bread,Loaf,2.35,AUD,1.58,1,High
Australia,2020,1,Bread,Loaf,2.36,AUD,1.59,1,High
Australia,2020,2,Bread,Loaf,2.37,AUD,1.59,1,High
Australia,2020,3,Bread,Loaf,2.37,AUD,1.59,1,High
Australia,2020,4,Bread,Loaf,2.37,AUD,1.59,1,High
Australia,2020,5,Bread,Loaf,2.38,AUD,1.59,1,High
Australia,2020,6,Bread,Loaf,2.38,AUD,1.60,1,High
Australia,2020,7,Bread,Loaf,2.38,AUD,1.60,1,High
Australia,2020,8,Bread,Loaf,2.39,AUD,1.60,1,High
Australia,2020,9,Bread,Loaf,2.39,AUD,1.60,1,High
Australia,2020,10,Bread,Loaf,2.39,AUD,1.60,1,High
Australia,2020,11,Bread,Loaf,2.39,AUD,1.61,1,High
Australia,2020,12,Bread,Loaf,2.40,AUD,1.61,1,High
Australia,2021,1,Bread,Loaf,2.40,AUD,1.61,1,High
Australia,2021,2,Bread,Loaf,2.43,AUD,1.63,1,High
Australia,2021,3,Bread,Loaf,2.45,AUD,1.64,1,High
Australia,2021,4,Bread,Loaf,2.48,AUD,1.66,1,High
Australia,2021,5,Bread,Loaf,2.50,AUD,1.68,1,High
Australia,2021,6,Bread,Loaf,2.53,AUD,1.69,1,High
Australia,2021,7,Bread,Loaf,2.55,AUD,1.71,1,High
Australia,2021,8,Bread,Loaf,2.58,AUD,1.73,1,High
Australia,2021,9,Bread,Loaf,2.60,AUD,1.74,1,High
Australia,2021,10,Bread,Loaf,2.63,AUD,1.76,1,High
Australia,2021,11,Bread,Loaf,2.65,AUD,1.78,1,High
Australia,2021,12,Bread,Loaf,2.68,AUD,1.80,1,High
